StudentId,exist-week-3-dir,exist-contacts-dir,directory-mismatch,exist-files,copy,make,test-add,test-find,test-remove,test-size,test-update
2020023445,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), (""size.out: tests/size.cc:10: int main(): Assertion `contacts.size() == 0' failed.\nAborted\n"",))","(('pass',), ('',))"
2020043281,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('add.out: tests/add.cc:25: int main(): Assertion `contacts.add(0, ""name"", ""phone"", ""mail"")\' failed.\nAborted\n',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))"
2020070164,"(('pass',), ('',))","(('failed',), ('',))","(('pass', 'pass', 'pass'), ('', ""cp: cannot stat 'contacts.cc': No such file or directory\n"", ""cp: cannot stat 'contacts.h': No such file or directory\n""))","(('failed', 'failed', 'failed', 'failed'), (""[Errno 2] No such file or directory: 'repositories/2020070164/./week-3/contacts': 'repositories/2020070164/./week-3/contacts'"", ""[Errno 2] No such file or directory: 'repositories/2020070164/./week-3/contacts': 'repositories/2020070164/./week-3/contacts'"", ""[Errno 2] No such file or directory: 'repositories/2020070164/./week-3/contacts': 'repositories/2020070164/./week-3/contacts'"", ""[Errno 2] No such file or directory: 'repositories/2020070164/./week-3/contacts': 'repositories/2020070164/./week-3/contacts'""))","(('failed', 'failed', 'failed'), ('failed', 'failed', 'failed'))","(('pass',), (""make: Warning: File 'tests/add.cc' has modification time 0.024 s in the future\nmake: *** No rule to make target 'contacts.cc', needed by 'contacts.o'.  Stop.\n"",))","(('pass',), ('/bin/sh: 1: ./tests/add.out: not found\n',))","(('pass',), ('/bin/sh: 1: ./tests/find.out: not found\n',))","(('pass',), ('/bin/sh: 1: ./tests/remove.out: not found\n',))","(('pass',), ('/bin/sh: 1: ./tests/size.out: not found\n',))","(('pass',), ('/bin/sh: 1: ./tests/update.out: not found\n',))"
2020017429,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('',))","(('pass',), ('find.out: tests/find.cc:18: int main(): Assertion `student.name == ""name""\' failed.\nAborted\n',))","(('pass',), ('',))","(('pass',), (""size.out: tests/size.cc:10: int main(): Assertion `contacts.size() == 0' failed.\nAborted\n"",))","(('pass',), ('update.out: tests/update.cc:15: int main(): Assertion `contacts.update(0, ""name2"", ""1"", ""2"")\' failed.\nAborted\n',))"
2016049907,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))"
2020064302,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))"
2020031603,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))"
2020078822,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('Segmentation fault\n',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))"
2020030819,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))","(('pass',), ('',))"
2020068331,"(('pass',), ('',))","(('pass',), ('',))",,"(('pass', 'pass', 'pass', 'pass'), ('', '', '', ''))","(('pass', 'pass', 'pass'), ('', '', ''))","(('pass',), ('g++ -std=c++11 -c -o contacts.o contacts.cc\ng++ -std=c++11 -o tests/add.out tests/add.cc contacts.o\ng++ -std=c++11 -o tests/remove.out tests/remove.cc contacts.o\ng++ -std=c++11 -o tests/update.out tests/update.cc contacts.o\ng++ -std=c++11 -o tests/find.out tests/find.cc contacts.o\ng++ -std=c++11 -o tests/size.out tests/size.cc contacts.o\n',))","(('pass',), ('add.out: tests/add.cc:17: int main(): Assertion `!contacts.add({4, ""name"", ""phone"", ""mail""})\' failed.\nAborted\n',))","(('pass',), (""find.out: tests/find.cc:24: int main(): Assertion `student.id == 1' failed.\nAborted\n"",))","(('pass',), (""remove.out: tests/remove.cc:17: int main(): Assertion `!contacts.remove(0)' failed.\nAborted\n"",))","(('pass',), (""size.out: tests/size.cc:12: int main(): Assertion `contacts.size() == 1' failed.\nAborted\n"",))","(('pass',), ('',))"
